origin,destination,count,cat,year
ao,cn,31,Pos,2016
ao,cn,7,Pos,2019
ao,cn,5,Pos,2018
ao,es,50,Pos,2015
ao,es,28,Pos,2019
ao,es,13,Pos,2018
ao,fr,352,Pos,2015
ao,fr,248,Pos,2016
ao,fr,170,Pos,2019
ao,gb,520,Pos,2015
ao,gb,290,Pos,2019
ao,gb,129,Pos,2016
ao,gb,10,Pos,2018
ao,id,99,Pos,2019
ao,id,68,Pos,2016
ao,id,38,Pos,2017
ao,id,36,Pos,2018
ao,in,682,Pos,2019
ao,in,327,Pos,2018
ao,in,176,Pos,2015
ao,in,18,Pos,2017
ao,it,85,Pos,2016
ao,it,59,Pos,2015
ao,it,55,Pos,2018
ao,it,35,Pos,2017
ao,it,30,Pos,2019
ao,na,352,Pos,2015
ao,na,169,Pos,2017
ao,na,168,Pos,2019
ao,na,164,Pos,2018
ao,na,163,Pos,2016
ao,ng,94,Pos,2019
ao,ng,71,Pos,2015
ao,ng,16,Pos,2018
ao,pt,2324,Pos,2015
ao,us,2210,Pos,2015
ao,us,1374,Pos,2016
ao,us,558,Pos,2019
ao,us,351,Pos,2018
ao,us,236,Pos,2017
ao,za,394,Pos,2015
ao,za,286,Pos,2019
ao,za,213,Pos,2018
ao,za,187,Pos,2016
ao,za,111,Pos,2017
ar,ae,13,Neg,2019
ar,ae,10,Neg,2016
ar,ae,8,Neg,2015
ar,ae,2,Neg,2017
ar,ae,1,Neg,2018
ar,at,6,Neg,2019
ar,at,4,Neg,2017
ar,at,4,Neg,2018
ar,at,3,Neg,2016
ar,at,1,Neg,2015
ar,au,90,Neg,2019
ar,au,51,Neg,2016
ar,au,46,Neg,2018
ar,au,42,Neg,2017
ar,au,30,Neg,2015
ar,be,10,Neg,2016
ar,be,7,Neg,2019
ar,be,4,Neg,2017
ar,be,1,Neg,2015
ar,bo,4,Neg,2016
ar,bo,3,Neg,2015
ar,bo,1,Neg,2017
ar,br,31,Neg,2019
ar,ca,25,Neg,2019
ar,ca,15,Neg,2018
ar,ca,14,Neg,2017
ar,ca,7,Neg,2016
ar,ca,2,Neg,2015
ar,ch,9,Neg,2016
ar,ch,9,Neg,2019
ar,ch,8,Neg,2018
ar,ch,7,Neg,2015
ar,ch,7,Neg,2017
ar,cl,98,Neg,2015
ar,cl,98,Neg,2019
ar,cl,54,Neg,2016
ar,cl,34,Neg,2018
ar,cl,22,Neg,2017
ar,cn,3,Neg,2019
ar,co,37,Neg,2015
ar,co,30,Neg,2019
ar,cr,8,Neg,2015
ar,cr,7,Neg,2016
ar,cr,4,Neg,2019
ar,cr,2,Neg,2018
ar,de,76,Neg,2019
ar,de,58,Neg,2018
ar,de,56,Neg,2016
ar,de,49,Neg,2017
ar,de,35,Neg,2015
ar,dk,39,Neg,2019
ar,dk,18,Neg,2018
ar,dk,16,Neg,2016
ar,dk,9,Neg,2017
ar,dk,6,Neg,2015
ar,do,3,Neg,2015
ar,ec,13,Neg,2015
ar,es,810,Neg,2019
ar,es,413,Neg,2018
ar,es,229,Neg,2017
ar,es,180,Neg,2016
ar,fr,82,Neg,2019
ar,fr,51,Neg,2018
ar,fr,42,Neg,2016
ar,fr,35,Neg,2017
ar,fr,25,Neg,2015
ar,gb,150,Neg,2019
ar,gb,41,Neg,2018
ar,gb,32,Neg,2017
ar,gb,25,Neg,2016
ar,gb,20,Neg,2015
ar,ie,36,Neg,2019
ar,ie,25,Neg,2016
ar,ie,20,Neg,2018
ar,ie,16,Neg,2015
ar,ie,12,Neg,2017
ar,il,13,Neg,2019
ar,il,8,Neg,2015
ar,il,6,Neg,2016
ar,il,6,Neg,2018
ar,il,5,Neg,2017
ar,it,81,Neg,2019
ar,it,51,Neg,2018
ar,it,23,Neg,2017
ar,it,22,Neg,2016
ar,it,5,Neg,2015
ar,mx,48,Neg,2019
ar,mx,42,Neg,2015
ar,mx,32,Neg,2016
ar,mx,20,Neg,2017
ar,mx,18,Neg,2018
ar,nl,34,Neg,2019
ar,nl,21,Neg,2018
ar,nl,20,Neg,2017
ar,nl,19,Neg,2016
ar,nl,13,Neg,2015
ar,nz,28,Neg,2016
ar,nz,24,Neg,2019
ar,nz,23,Neg,2015
ar,nz,16,Neg,2018
ar,nz,15,Neg,2017
ar,pa,13,Neg,2015
ar,pa,6,Neg,2016
ar,pe,22,Neg,2015
ar,pe,5,Neg,2016
ar,py,11,Neg,2015
ar,py,10,Neg,2016
ar,us,149,Neg,2019
ar,uy,5,Neg,2015
ar,uy,2,Neg,2016
ar,be,0,Pos,2018
ar,bo,5,Pos,2018
ar,bo,3,Pos,2019
ar,br,81,Pos,2017
ar,br,65,Pos,2016
ar,br,64,Pos,2018
ar,br,18,Pos,2015
ar,cn,24,Pos,2016
ar,cn,5,Pos,2015
ar,cn,5,Pos,2017
ar,cn,0,Pos,2018
ar,co,44,Pos,2017
ar,co,29,Pos,2018
ar,co,8,Pos,2016
ar,cr,0,Pos,2017
ar,do,6,Pos,2018
ar,do,1,Pos,2017
ar,do,1,Pos,2019
ar,do,0,Pos,2016
ar,ec,20,Pos,2018
ar,ec,18,Pos,2017
ar,ec,1,Pos,2016
ar,ec,1,Pos,2019
ar,es,13,Pos,2015
ar,in,19,Pos,2019
ar,in,11,Pos,2018
ar,in,8,Pos,2017
ar,in,4,Pos,2015
ar,in,4,Pos,2016
ar,pa,28,Pos,2018
ar,pa,16,Pos,2017
ar,pa,6,Pos,2019
ar,pe,23,Pos,2019
ar,pe,16,Pos,2018
ar,pe,5,Pos,2017
ar,py,95,Pos,2018
ar,py,31,Pos,2019
ar,py,20,Pos,2017
ar,us,196,Pos,2015
ar,us,100,Pos,2016
ar,us,61,Pos,2018
ar,us,48,Pos,2017
