origin,destination,count
cn,gb,0,88
cn,us,-2,13
cn,ve,0,02
cn,vn,-0,07
cn,zm,0
co,ar,0,39
co,au,-0,38
co,be,0,03
co,bo,-0,01
co,br,0,28
co,ca,-0,22
co,cl,-0,42
co,cn,0
co,cr,-0,02
co,do,0,02
co,ec,-0,26
co,sv,0
co,fr,-0,05
co,de,-0,19
co,gt,0
co,in,0,06
co,ie,0,02
co,it,0,13
co,kr,0,04
co,mx,-0,13
co,nl,-0,01
co,nz,-0,06
co,pa,-0,3
co,pe,-0,22
co,pt,0,01
co,es,1,13
co,se,-0,03
co,ch,-0,01
co,ae,-0,01
co,gb,0,16
co,us,4,98
co,uy,-0,02
co,ve,3,73
cr,ar,0,64
cr,br,0,56
cr,ca,0,26
cr,cl,0,24
cr,co,0,16
cr,ec,0,02
cr,fr,-0,12
cr,de,-0,21
cr,gt,0,05
cr,hn,0,12
cr,it,-0,02
cr,mx,-0,54
cr,nl,0,12
cr,ni,-0,35
cr,pa,-0,3
cr,pe,0,1
cr,es,1,48
cr,ch,0,03
cr,gb,-0,28
cr,us,6,18
cr,ve,4,14
cu,ca,-2,04
cu,mx,-2,3
cu,es,9,83
cu,us,-20,42
cu,uy,-8,04
cy,au,-0,78
cy,be,0,17
cy,ca,-1,4
cy,fr,-0,22
cy,de,-1,68
cy,gr,5,54
cy,il,0,39
cy,it,0,5
cy,nl,-0,34
cy,ng,0,45
cy,es,0,39
cy,tr,21,11
cy,ua,2,24
cy,ae,-1,85
cy,gb,0,22
cy,us,6,61
cz,au,-0,5
cz,at,-0,35
cz,by,0
cz,be,-0,05
cz,br,0,12
cz,bg,0,18
cz,ca,-0,1
cz,cn,-0,12
cz,hr,0,1
cz,dk,-0,35
cz,fi,0,13
cz,fr,0,83
cz,de,-2,48
cz,gr,0,31
cz,hu,0,24
cz,in,1,09
cz,ie,-0,49
cz,it,1,36
cz,jp,0,01
cz,lu,-0,18
cz,mt,-0,05
cz,nl,-0,81
cz,nz,-0,41
cz,no,0,08
cz,pl,0
cz,pt,0,25
cz,ro,0,5
cz,rs,0,21
cz,sg,-0,12
cz,sk,5,33
cz,es,0,25
cz,se,-0,29
cz,ch,-1,13
cz,tr,0,49
cz,ua,0,9
cz,ae,-0,6
cz,gb,-2,62
cz,us,3,9
de,af,-0,02
de,al,0,17
de,dz,0
de,ar,0,36
de,am,0,15
de,au,0,66
de,at,0,14
de,az,0,02
de,bd,0,19
de,by,0,2
de,be,0,47
de,ba,0,26
de,br,1,59
de,bg,0,66
de,kh,-0,01
de,cm,0,04
de,ca,0,63
de,cl,0,13
de,cn,0,91
de,co,0,19
de,cr,0,03
de,hr,0,92
de,cy,0,07
de,cz,0,51
de,dk,0,02
de,ec,0
de,eg,0,69
de,ee,0
de,et,0,01
de,fi,0,32
de,fr,2,76
de,ge,0,02
de,gh,0,05
de,gr,0,84
de,hk,0,01
de,hu,0,93
de,is,0,02
de,in,6,29
de,id,0,18
de,ir,0,05
de,iq,0,05
de,ie,0,1
de,il,0,36
de,it,3,66
de,jp,0,12
de,jo,0,17
de,kz,0,03
de,ke,0,03
de,kr,0,23
de,kw,0,05
de,lv,0,14
de,lb,0,26
de,lt,0,07
de,lu,-0,84
de,mk,0,18
de,my,0,19
de,mt,0,02
de,mx,0,64
de,md,0,14
de,ma,0,12
de,na,-0,01
de,np,0,01
de,nl,1,45
de,nz,0,06
de,ng,0,08
de,no,0,05
de,om,-0,02
de,pk,0,73
de,pa,0
de,pe,0,05
de,ph,0,14
de,pl,1,13
de,pt,0,63
de,qa,-0,02
de,ro,1,55
de,sa,0,08
de,rs,0,53
de,sg,0,13
de,sk,0,16
de,si,0,18
de,za,0,19
de,es,2,21
de,lk,0,04
de,se,0,1
de,ch,-4,35
de,sy,0,49
de,tw,0,08
de,tz,-0,01
de,th,0,18
de,tn,0,29
de,tr,1,25
de,ug,0
de,ua,1,24
de,ae,-0,08
de,gb,2,47
de,us,4,56
de,uy,0
de,ve,0,32
de,vn,0,05
de,ps,0,03
dk,ar,0,16
dk,au,0,64
dk,at,-0,01
dk,be,-0,18
dk,br,0,34
dk,bg,0,31
dk,ca,0,15
dk,cl,0,03
dk,cn,0,65
dk,cz,0,18
dk,eg,0,22
dk,ee,-0,05
dk,fi,0,18
dk,fr,0,48
dk,de,-0,06
dk,gr,0,37
dk,hk,0,03
dk,hu,0,36
dk,is,-0,15
dk,in,1,47
dk,id,0,13
dk,ir,1,12
dk,ie,-0,07
dk,it,1,22
dk,jp,0,05
dk,ke,-0,12
dk,kr,0,01
dk,lv,-0,18
dk,lt,-0,06
dk,lu,-0,02
dk,my,0,15
dk,mt,-0,03
dk,mx,0,15
dk,nl,0,34
dk,nz,0,04
dk,no,-0,52
dk,pk,0,23
dk,ph,0,06
dk,pl,0,15
dk,pt,0,3
dk,qa,-0,09
dk,ro,0,81
dk,sg,0,05
dk,sk,0,27
dk,za,0,07
dk,es,0,71
dk,se,1,67
dk,ch,-0,13
dk,th,0,13
dk,tr,0,2
dk,ua,0,26
dk,ae,-0,18
dk,gb,0,2
dk,us,2,1
dk,vn,0,01
do,ar,0,23
do,br,0,44
do,ca,-0,97
do,cl,-0,5
do,co,-0,19
do,fr,-0,36
do,ht,-0,23
do,it,0,19
do,mx,0,44
do,pa,-0,72
do,pe,-0,04
do,pr,-0,19
do,es,3,89
do,gb,-0,11
do,us,-0,38
do,ve,3
dz,be,0,16
dz,ca,-2,54
dz,cn,-0,04
dz,eg,-0,14
dz,fr,-3,9
dz,de,-0,01
dz,in,0,31
dz,it,-0,06
dz,my,-0,15
dz,ma,-0,06
dz,qa,-0,43
dz,sa,-0,24
dz,es,0,03
dz,tn,0
dz,tr,0,52
dz,ae,-0,45
dz,gb,-0,05
dz,us,1,74
ec,ar,0,49
ec,au,0,06
ec,br,0,21
ec,ca,0,34
ec,cl,-0,19
ec,co,0,93
ec,cr,-0,01
ec,fr,0,17
ec,de,0,01
ec,it,0,05
ec,mx,0,26
ec,nl,-0,02
ec,pa,0,28
ec,pe,-0,2
ec,es,1,45
ec,ch,0,14
ec,gb,-0,16
ec,us,8,16
ec,ve,6,93
ee,au,-2,14
ee,be,0,15
ee,dk,0,69
ee,fi,0,53
ee,fr,1,22
ee,de,0,15
ee,it,0,84
ee,lv,1,68
ee,nl,0,38
ee,no,0,46
ee,es,0,61
ee,se,-0,76
ee,ua,7,4
ee,gb,-0,38
ee,us,5,11
eg,dz,0,08
eg,au,-0,75
eg,at,-0,11
eg,bh,-0,36
eg,be,-0,07
eg,ca,-1,99
eg,cn,0,13
eg,dk,-0,22
eg,fr,-0,2
eg,de,-1,78
eg,gh,-1,03
eg,in,0,07
eg,iq,-0,24
eg,ie,-0,21
eg,it,-0,21
eg,jp,-0,02
eg,jo,-0,17
eg,kw,-1,99
eg,lb,-0,02
eg,ly,0,41
eg,my,-0,02
eg,ma,-0,03
eg,nl,-0,34
eg,ng,0,01
eg,no,0,08
eg,om,-0,16
eg,pl,-0,13
eg,qa,-4,03
eg,ro,0,26
eg,sa,-13,79
eg,za,-0,07
eg,es,-0,12
eg,sd,-0,11
eg,se,-0,25
eg,ch,0,08
eg,sy,-0,07
eg,tr,-0,55
eg,ua,0,02
eg,ae,-12,44
eg,gb,0,1
eg,us,9,46
eg,ye,0,03
es,af,-0,02
es,dz,0
es,ao,-0,02
es,ar,-0,08
es,au,-0,24
es,at,-0,12
es,be,-0,1
es,bo,-0,14
es,br,0,68
es,bg,0,04
es,ca,0,06
es,cl,-0,58
es,cn,0,01
es,co,-0,65
es,cr,-0,11
es,hr,0,02
es,cu,-0,1
es,cy,-0,01
es,cz,-0,03
es,dk,-0,17
es,do,-0,26
es,ec,-0,23
es,eg,0,03
es,sv,-0,04
es,ee,-0,01
es,fi,0,01
es,fr,0,19
es,de,-1,29
es,gr,0,03
es,gt,-0,06
es,hn,-0,05
es,hk,-0,06
es,hu,0,09
es,is,0,03
es,in,0,22
es,id,-0,01
es,ir,0,03
es,ie,-0,48
es,il,0,01
es,it,1,32
es,jp,-0,06
es,jo,-0,01
es,ke,0
es,kr,0,01
es,kw,-0,02
es,lv,0,02
es,lb,0,02
es,lt,0,02
es,lu,-0,14
es,my,-0,02
es,mt,0,01
es,mx,-2,19
es,ma,-0,01
es,nl,-0,15
es,nz,-0,05
es,ni,-0,05
es,ng,0,01
es,no,-0,1
es,om,-0,02
es,pk,0,03
es,pa,-0,17
es,py,-0,05
es,pe,-0,61
es,ph,0
es,pl,0,07
es,pt,0,2
es,pr,-0,05
es,qa,-0,15
es,ro,0,17
es,sa,-0,21
es,rs,0,01
es,sg,-0,08
es,sk,0,01
es,si,-0,01
es,za,0,04
es,se,-0,22
es,ch,-0,78
es,tw,-0,01
es,th,0,01
es,tn,0,02
es,tr,0,1
es,ua,0,13
es,ae,-0,38
es,gb,-2,66
es,us,0,3
es,uy,-0,07
es,ve,2,74
es,vn,0
et,ca,-1,14
et,cn,0,86
et,fr,0,39
et,de,-0,12
et,in,2,71
et,it,0,12
et,ke,0,12
et,nl,1,02
et,no,0,94
et,za,0,51
et,tr,1,22
et,ae,-1,02
et,gb,0,24
et,us,19,49
fi,au,-0,03
fi,at,-0,28
fi,be,-0,06
fi,br,0,23
fi,ca,-0,05
fi,cn,0,59
fi,cz,-0,15
fi,dk,-0,43
fi,ee,-0,09
fi,fr,0,04
fi,de,-1,9
fi,gr,0,27
fi,hk,0,04
fi,hu,0,06
fi,in,-1,55
fi,ir,0,31
fi,ie,-0,25
fi,it,0,59
fi,jp,-0,12
fi,kr,0,25
fi,lu,-0,34
fi,mx,0,05
fi,nl,-0,74
fi,no,-0,08
fi,pk,0,62
fi,pl,0,1
fi,pt,0,19
fi,ro,0,35
fi,sg,0
fi,es,-0,06
fi,se,-3,35
fi,ch,-0,52
fi,th,0,18
fi,tr,0,46
fi,ae,-0,22
fi,gb,-1,43
fi,us,3,3
fi,vn,0,46
fj,au,5,31
fj,nz,-4,01
fj,us,7,67
fr,af,-0,05
fr,al,0
fr,dz,0,39
fr,ao,-0,08
fr,ar,0,11
fr,am,0,01
fr,au,-0,18
fr,at,-0,1
fr,az,0
fr,bh,-0,01
fr,bd,-0,01
fr,be,-1,03
fr,bj,0,15
fr,bo,-0,01
fr,br,0,09
fr,bg,0,04
fr,bf,-0,06
fr,kh,-0,07
fr,cm,0
fr,ca,-1,53
fr,cl,-0,02
fr,cn,-0,38
fr,co,0,02
fr,cd,-0,22
fr,cr,0,01
fr,ci,0,37
