origin,destination,count,cat
co,br,28,Pos
ec,pa,28,Pos
ie,ve,28,Pos
jo,it,28,Pos
no,hr,28,Pos
sa,lk,28,Pos
dk,sk,27,Pos
fi,gr,27,Pos
fr,ro,27,Pos
ie,at,27,Pos
it,br,27,Pos
it,in,27,Pos
ke,it,27,Pos
no,kr,27,Pos
se,no,27,Pos
sg,ie,27,Pos
th,it,27,Pos
ch,au,26,Pos
ch,za,26,Pos
ci,tg,26,Pos
cr,ca,26,Pos
de,ba,26,Pos
de,lb,26,Pos
dk,ua,26,Pos
ec,mx,26,Pos
eg,ro,26,Pos
id,cn,26,Pos
id,in,26,Pos
ie,eg,26,Pos
iq,kw,26,Pos
jp,it,26,Pos
jp,za,26,Pos
my,bd,26,Pos
my,fr,26,Pos
nz,kr,26,Pos
om,de,26,Pos
om,id,26,Pos
pa,gb,26,Pos
rs,gr,26,Pos
se,th,26,Pos
th,ph,26,Pos
tz,nl,26,Pos
tz,rw,26,Pos
ae,kz,25,Pos
au,fr,25,Pos
au,es,25,Pos
bd,sa,25,Pos
ca,jm,25,Pos
cz,pt,25,Pos
cz,es,25,Pos
fi,kr,25,Pos
mx,ar,25,Pos
ni,mx,25,Pos
nz,fj,25,Pos
sa,iq,25,Pos
sa,kw,25,Pos
sg,vn,25,Pos
tr,ir,25,Pos
ae,az,24,Pos
ae,cz,24,Pos
au,co,24,Pos
ca,il,24,Pos
ch,bg,24,Pos
ch,fi,24,Pos
ch,tn,24,Pos
cr,cl,24,Pos
cz,hu,24,Pos
et,gb,24,Pos
id,il,24,Pos
lv,fr,24,Pos
lv,se,24,Pos
np,no,24,Pos
nz,pl,24,Pos
se,rs,24,Pos
ae,uz,23,Pos
be,hu,23,Pos
de,kr,23,Pos
dk,pk,23,Pos
do,ar,23,Pos
fi,br,23,Pos
ie,jp,23,Pos
il,za,23,Pos
iq,cn,23,Pos
ir,jp,23,Pos
ir,ae,23,Pos
my,pk,23,Pos
ng,ke,23,Pos
sg,za,23,Pos
si,hr,23,Pos
vn,jp,23,Pos
ae,np,22,Pos
af,ir,22,Pos
au,my,22,Pos
ca,dz,22,Pos
ca,tn,22,Pos
cy,gb,22,Pos
dk,eg,22,Pos
es,in,22,Pos
hk,be,22,Pos
ir,fr,22,Pos
kw,it,22,Pos
nl,pt,22,Pos
nz,gb,22,Pos
pl,pt,22,Pos
qa,th,22,Pos
sa,ng,22,Pos
tr,eg,22,Pos
tw,ph,22,Pos
at,mx,21,Pos
be,ua,21,Pos
bo,br,21,Pos
bo,ca,21,Pos
ca,lb,21,Pos
ca,za,21,Pos
cz,rs,21,Pos
ec,br,21,Pos
fr,lb,21,Pos
il,tr,21,Pos
ke,mu,21,Pos
pl,gr,21,Pos
pr,do,21,Pos
sa,it,21,Pos
se,mx,21,Pos
sg,bd,21,Pos
tr,az,21,Pos
us,cn,21,Pos
za,zw,21,Pos
ae,cm,20,Pos
ae,ly,20,Pos
ca,ma,20,Pos
ca,sg,20,Pos
ch,hr,20,Pos
de,by,20,Pos
dk,tr,20,Pos
dk,gb,20,Pos
es,pt,20,Pos
gb,be,20,Pos
hk,br,20,Pos
id,au,20,Pos
ke,nl,20,Pos
lu,dk,20,Pos
mx,in,20,Pos
my,jp,20,Pos
ni,hn,20,Pos
nl,es,20,Pos
no,th,20,Pos
sa,nl,20,Pos
sk,in,20,Pos
ae,af,19,Pos
ae,dz,19,Pos
ae,ye,19,Pos
au,ar,19,Pos
be,hr,19,Pos
ch,ar,19,Pos
de,bd,19,Pos
de,co,19,Pos
de,my,19,Pos
de,za,19,Pos
do,it,19,Pos
es,fr,19,Pos
fi,pt,19,Pos
gb,ie,19,Pos
ke,dk,19,Pos
ke,fr,19,Pos
kr,my,19,Pos
no,tr,19,Pos
pl,ro,19,Pos
se,eg,19,Pos
sg,ch,19,Pos
ar,br,18,Pos
at,nl,18,Pos
au,eg,18,Pos
au,pl,18,Pos
be,tr,18,Pos
cz,bg,18,Pos
de,id,18,Pos
de,mk,18,Pos
de,si,18,Pos
de,th,18,Pos
dk,cz,18,Pos
dk,fi,18,Pos
fi,th,18,Pos
ie,ng,18,Pos
it,ir,18,Pos
my,gb,18,Pos
ng,tr,18,Pos
nl,hu,18,Pos
nl,pl,18,Pos
no,be,18,Pos
nz,co,18,Pos
nz,mx,18,Pos
pt,in,18,Pos
pt,it,18,Pos
sa,gr,18,Pos
sd,gb,18,Pos
se,sa,18,Pos
th,be,18,Pos
th,br,18,Pos
th,sg,18,Pos
vn,nl,18,Pos
ae,bg,17,Pos
ae,hk,17,Pos
ae,mk,17,Pos
au,tr,17,Pos
az,au,17,Pos
ca,gb,17,Pos
cy,be,17,Pos
de,al,17,Pos
de,jo,17,Pos
ec,fr,17,Pos
es,ro,17,Pos
fr,pt,17,Pos
gb,nl,17,Pos
hu,tr,17,Pos
ie,ph,17,Pos
il,it,17,Pos
jp,tr,17,Pos
ma,in,17,Pos
ng,za,17,Pos
sa,ch,17,Pos
se,pk,17,Pos
se,pt,17,Pos
sg,pk,17,Pos
uy,co,17,Pos
vn,id,17,Pos
ae,ar,16,Pos
ae,hr,16,Pos
ae,ug,16,Pos
be,bg,16,Pos
bo,fr,16,Pos
ca,kr,16,Pos
co,gb,16,Pos
cr,co,16,Pos
de,sk,16,Pos
dk,ar,16,Pos
dz,be,16,Pos
kh,de,16,Pos
kh,gb,16,Pos
kw,fr,16,Pos
lk,my,16,Pos
mt,au,16,Pos
pk,no,16,Pos
tn,ly,16,Pos
za,fr,16,Pos
ae,de,15,Pos
at,th,15,Pos
au,ng,15,Pos
bj,ng,15,Pos
